id,nat_dex,name,type1,type2,is_mega,is_gmax,is_legend,is_mythical,is_ultra_beast,generation,color,shape
0,1,bulbasaur,grass,poison,False,False,False,False,False,1,green,quadruped
1,2,ivysaur,grass,poison,False,False,False,False,False,1,green,quadruped
2,3,venusaur,grass,poison,False,False,False,False,False,1,green,quadruped
3,3,venusaur_female,grass,poison,False,False,False,False,False,1,green,quadruped
4,3,venusaur_gmax,grass,poison,False,True,False,False,False,8,green,quadruped
5,3,venusaur_mega,grass,poison,True,False,False,False,False,6,green,quadruped
6,4,charmander,fire,,False,False,False,False,False,1,red,bipedtail
7,5,charmeleon,fire,,False,False,False,False,False,1,red,bipedtail
8,6,charizard,fire,flying,False,False,False,False,False,1,red,bipedtail
9,6,charizard_gmax,fire,flying,False,True,False,False,False,8,red,bipedtail
10,6,charizard_x,fire,dragon,True,False,False,False,False,6,black,bipedtail
11,6,charizard_y,fire,flying,True,False,False,False,False,6,red,bipedtail
12,7,squirtle,water,,False,False,False,False,False,1,blue,bipedtail
13,8,wartortle,water,,False,False,False,False,False,1,blue,bipedtail
14,9,blastoise,water,,False,False,False,False,False,1,blue,bipedtail
15,9,blastoise_gmax,water,,False,True,False,False,False,8,blue,bipedtail
16,9,blastoise_mega,water,,True,False,False,False,False,6,blue,bipedtail
17,10,caterpie,bug,,False,False,False,False,False,1,green,insectoid
18,11,metapod,bug,,False,False,False,False,False,1,green,snake
19,12,butterfree,bug,flying,False,False,False,False,False,1,white,fourwings
20,12,butterfree_female,bug,flying,False,False,False,False,False,1,white,fourwings
21,12,butterfree_gmax,bug,flying,False,True,False,False,False,8,white,fourwings
22,13,weedle,bug,poison,False,False,False,False,False,1,brown,insectoid
23,14,kakuna,bug,poison,False,False,False,False,False,1,yellow,snake
24,15,beedrill,bug,poison,False,False,False,False,False,1,yellow,fourwings
25,15,beedrill_mega,bug,poison,True,False,False,False,False,6,yellow,fourwings
26,16,pidgey,normal,flying,False,False,False,False,False,1,brown,twowings
27,17,pidgeotto,normal,flying,False,False,False,False,False,1,brown,twowings
